No,企業名,業種(大分類),業種(小分類),採用情報URL
121,ジャパンマリンユナイテッド株式会社,輸送機器,機械／重電・産業用電気機器／プラント・エンジニアリング／商社（自動車・輸送機器）,https://job.rikunabi.com//2022/company/r498200060/employ/
122,鉄建建設株式会社,建設,不動産,https://job.rikunabi.com//2022/company/r498200060/employ/
123,太平電業株式会社,プラント・エンジニアリング,建設／設備・設備工事関連／重電・産業用電気機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
124,パナソニックデバイスＳＵＮＸ株式会社,半導体・電子部品・その他,精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
125,株式会社ミツトヨ,精密機器,機械／重電・産業用電気機器／総合電機（電気・電子機器）／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
126,株式会社初田製作所,機械,半導体・電子部品・その他／その他製造／設備・設備工事関連／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
127,帝國製薬株式会社,医薬品,化粧品,https://job.rikunabi.com//2022/company/r498200060/employ/
128,ユニチカ株式会社,化学,繊維／機械／プラント・エンジニアリング／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
129,株式会社タカミヤ,建材・エクステリア,金属製品／建設／住宅／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
130,ユタカ工業株式会社,自動車,輸送機器／機械／金属製品／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
131,タキロンシーアイ株式会社,化学,建材・エクステリア／プラント・エンジニアリング／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
132,株式会社ジーテクト,自動車,輸送機器／金属製品／プラント・エンジニアリング／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
133,ＴＯＷＡ株式会社,機械,精密機器／半導体・電子部品・その他／金属製品／ガラス・セラミックス,https://job.rikunabi.com//2022/company/r498200060/employ/
134,知多鋼業株式会社,自動車,輸送機器／機械／金属製品／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
135,ローム株式会社,半導体・電子部品・その他,,https://job.rikunabi.com//2022/company/r498200060/employ/
136,八光グループ(株式会社八光電機、株式会社八光、株式会社八光興発、名古屋八光商事株式会社),医療機器,重電・産業用電気機器／その他商社,https://job.rikunabi.com//2022/company/r498200060/employ/
137,スガツネ工業株式会社,金属製品,建材・エクステリア／文具・事務機器・インテリア／商社（金属）／商社（インテリア）,https://job.rikunabi.com//2022/company/r498200060/employ/
138,株式会社 吉野工業所,化学,機械／化粧品／食品／医薬品,https://job.rikunabi.com//2022/company/r498200060/employ/
139,株式会社トピア,自動車,金属製品／輸送機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
140,株式会社湯山製作所,医療機器,精密機器／機械／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
141,株式会社メイワパックス,印刷関連,化学／食品／化粧品／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
142,共同エンジニアリング株式会社,建設,建設コンサルタント／プラント・エンジニアリング／設備・設備工事関連／人材サービス（人材紹介・人材派遣）,https://job.rikunabi.com//2022/company/r498200060/employ/
143,デンソー工業株式会社,半導体・電子部品・その他,コンピュータ・通信機器・ＯＡ機器／家電・ＡＶ機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
144,スズキ株式会社,自動車,輸送機器／機械／半導体・電子部品・その他／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
145,株式会社古川製作所,機械,その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
146,山洋電気株式会社,重電・産業用電気機器,総合電機（電気・電子機器）／機械／精密機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
147,株式会社丸山製作所,機械,農林／自動車／重電・産業用電気機器／輸送機器,https://job.rikunabi.com//2022/company/r498200060/employ/
148,株式会社シャトレーゼグループ,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
149,矢崎化工株式会社,機械,設備・設備工事関連／その他製造／金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
150,パナソニック　ライフソリューションズ社　グループ,総合電機（電気・電子機器）,設備・設備工事関連／建材・エクステリア／ソフトウェア／建築設計,https://job.rikunabi.com//2022/company/r498200060/employ/
151,株式会社フジマック,機械,商社（機械）／金属製品／設備・設備工事関連／商社（金属）,https://job.rikunabi.com//2022/company/r498200060/employ/
152,株式会社小矢部精機,機械,自動車／精密機器／プラント・エンジニアリング／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
153,日本スピンドル製造株式会社,機械,,https://job.rikunabi.com//2022/company/r498200060/employ/
154,アダマンド並木精密宝石株式会社,精密機器,半導体・電子部品・その他／医療機器／ガラス・セラミックス／鉱業,https://job.rikunabi.com//2022/company/r498200060/employ/
155,トリックス株式会社,自動車,,https://job.rikunabi.com//2022/company/r498200060/employ/
156,電気興業株式会社,総合電機（電気・電子機器）,機械／設備・設備工事関連／電力・電気／通信,https://job.rikunabi.com//2022/company/r498200060/employ/
157,芝浦機械株式会社,機械,半導体・電子部品・その他／精密機器／ソフトウェア／情報処理,https://job.rikunabi.com//2022/company/r498200060/employ/
158,株式会社技研製作所,機械,建設／ソフトウェア／コンサルタント・専門コンサルタント／建設コンサルタント,https://job.rikunabi.com//2022/company/r498200060/employ/
159,エスケー化研株式会社,化学,建材・エクステリア／建設／住宅／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
160,日本カーバイド工業株式会社　,化学,医薬品／ガラス・セラミックス／半導体・電子部品・その他／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
161,株式会社デンソーエアシステムズ,自動車,その他製造／機械／輸送機器／金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
162,株式会社ツバキ・ナカシマ,機械,精密機器／金属製品／自動車／コンピュータ・通信機器・ＯＡ機器,https://job.rikunabi.com//2022/company/r498200060/employ/
163,金属技研株式会社,金属製品,非鉄金属／半導体・電子部品・その他／輸送機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
164,双葉電子工業株式会社,機械,半導体・電子部品・その他／自動車／総合電機（電気・電子機器）／重電・産業用電気機器,https://job.rikunabi.com//2022/company/r498200060/employ/
165,ミネベアミツミ株式会社,半導体・電子部品・その他,機械／精密機器／コンピュータ・通信機器・ＯＡ機器／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
166,株式会社山本製作所,自動車,輸送機器／金属製品／その他製造／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
167,有限会社柿原銘板製作所,印刷関連,金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
168,日本化学工業株式会社,化学,,https://job.rikunabi.com//2022/company/r498200060/employ/
169,新明和グループ,輸送機器,機械／自動車／建設／ソフトウェア,https://job.rikunabi.com//2022/company/r498200060/employ/
170,建設ゴム株式会社,化学,タイヤ・ゴム製品／商社（自動車・輸送機器）／商社（事務機器・ＯＡ関連）／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
171,株式会社久保田鐵工所,自動車,輸送機器／機械／金属製品／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
172,三機工業株式会社,設備・設備工事関連,建設／プラント・エンジニアリング／機械／電力・電気,https://job.rikunabi.com//2022/company/r498200060/employ/
